Title,Author,Year_Published,Genre,Rating,Ratings_Count,Description,Popularity
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Fantasy,4.8,1250000,The book 'Harry Potter and the Sorcerer's Stone' tells the story of an epic adventure.,Populer
Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,Fantasy,4.7,1100000,The book 'Harry Potter and the Chamber of Secrets' tells the story of an epic adventure.,Populer
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,Fantasy,4.8,1150000,The book 'Harry Potter and the Prisoner of Azkaban' tells the story of an epic adventure.,Populer
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,1954,Fantasy,4.9,950000,The book 'The Lord of the Rings: The Fellowship of the Ring' tells the story of an epic adventure.,Populer
The Lord of the Rings: The Two Towers,J.R.R. Tolkien,1954,Fantasy,4.9,900000,The book 'The Lord of the Rings: The Two Towers' tells the story of an epic adventure.,Populer
The Lord of the Rings: The Return of the King,J.R.R. Tolkien,1955,Fantasy,4.9,920000,The book 'The Lord of the Rings: The Return of the King' tells the story of an epic adventure.,Populer
The Hunger Games,Suzanne Collins,2008,Dystopian,4.7,850000,The book 'The Hunger Games' tells the story of an epic adventure.,Populer
Catching Fire,Suzanne Collins,2009,Dystopian,4.6,800000,The book 'Catching Fire' tells the story of an epic adventure.,Populer
Mockingjay,Suzanne Collins,2010,Dystopian,4.5,750000,The book 'Mockingjay' tells the story of an epic adventure.,Populer
To Kill a Mockingbird,Harper Lee,1960,Fiction,4.8,650000,The book 'To Kill a Mockingbird' tells the story of an epic adventure.,Populer
1984,George Orwell,1949,Dystopian,4.7,500000,The book '1984' tells the story of an epic adventure.,Populer
The Fault in Our Stars,John Green,2012,Romance,4.6,450000,The book 'The Fault in Our Stars' tells the story of an epic adventure.,Populer
The Alchemist,Paulo Coelho,1988,Adventure,4.6,600000,The book 'The Alchemist' tells the story of an epic adventure.,Populer
Laskar Pelangi,Andrea Hirata,2005,Fiction,4.7,200000,The book 'Laskar Pelangi' tells the story of an epic adventure.,Populer
Sang Pemimpi,Andrea Hirata,2006,Fiction,4.6,150000,The book 'Sang Pemimpi' tells the story of an epic adventure.,Populer
Ayat-Ayat Cinta,Habiburrahman El Shirazy,2004,Romance,4.5,120000,The book 'Ayat-Ayat Cinta' tells the story of an epic adventure.,Populer
Rindu,Tere Liye,2011,Romance,4.6,130000,The book 'Rindu' tells the story of an epic adventure.,Populer
Hafalan Shalat Delisa,Tere Liye,2009,Fiction,4.5,90000,The book 'Hafalan Shalat Delisa' tells the story of an epic adventure.,Populer
Perahu Kertas,Dewi Lestari,2006,Romance,4.6,110000,The book 'Perahu Kertas' tells the story of an epic adventure.,Populer
"Supernova: Ksatria, Puteri, dan Bintang Jatuh",Dewi Lestari,2001,Sci-Fi,4.5,95000,"The book 'Supernova: Ksatria, Puteri, dan Bintang Jatuh' tells the story of an epic adventure.",Populer
Enchanted Shadow,Taylor Brown,1990,Fantasy,2.67,1020,The book 'Enchanted Shadow' tells the story of an epic adventure.,Kurang Populer
Lost Path,Jordan Smith,1998,Fantasy,2.47,4709,The book 'Lost Path' tells the story of an epic adventure.,Kurang Populer
Hidden Forest,Taylor Smith,2016,Romance,2.34,705,The book 'Hidden Forest' tells the story of an epic adventure.,Kurang Populer
Ancient Journey,Taylor Wilson,2023,Biography,3.97,2173,The book 'Ancient Journey' tells the story of an epic adventure.,Kurang Populer
Lost Shadow,Taylor Brown,2025,Drama,2.66,2070,The book 'Lost Shadow' tells the story of an epic adventure.,Kurang Populer
Mysterious Forest,Casey Johnson,1999,Thriller,2.91,2502,The book 'Mysterious Forest' tells the story of an epic adventure.,Kurang Populer
Hidden Forest,Jordan Miller,2001,Drama,3.78,1044,The book 'Hidden Forest' tells the story of an epic adventure.,Kurang Populer
Mysterious Forest,Jordan Johnson,2009,Thriller,3.43,3835,The book 'Mysterious Forest' tells the story of an epic adventure.,Kurang Populer
Secret Kingdom,Alex Brown,1980,Sci-Fi,4.14,1820,The book 'Secret Kingdom' tells the story of an epic adventure.,Kurang Populer
Ancient Kingdom,Casey Miller,1997,Mystery,3.86,4435,The book 'Ancient Kingdom' tells the story of an epic adventure.,Kurang Populer
Secret Journey,Casey Davis,1984,Drama,3.1,2234,The book 'Secret Journey' tells the story of an epic adventure.,Kurang Populer
Secret Forest,Morgan Johnson,2021,Romance,2.27,759,The book 'Secret Forest' tells the story of an epic adventure.,Kurang Populer
Hidden Legacy,Alex Davis,1987,Mystery,2.67,999,The book 'Hidden Legacy' tells the story of an epic adventure.,Kurang Populer
Enchanted Kingdom,Taylor Smith,1985,Romance,2.46,496,The book 'Enchanted Kingdom' tells the story of an epic adventure.,Kurang Populer
Secret Journey,Sam Miller,2015,Historical,3.65,985,The book 'Secret Journey' tells the story of an epic adventure.,Kurang Populer
Secret Kingdom,Sam Smith,2007,Thriller,2.93,2412,The book 'Secret Kingdom' tells the story of an epic adventure.,Kurang Populer
Mysterious Shadow,Casey Brown,2007,Thriller,2.68,1193,The book 'Mysterious Shadow' tells the story of an epic adventure.,Kurang Populer
Enchanted Kingdom,Taylor Brown,2008,Mystery,3.11,4841,The book 'Enchanted Kingdom' tells the story of an epic adventure.,Kurang Populer
Mysterious Kingdom,Morgan Davis,1984,Fantasy,2.43,1768,The book 'Mysterious Kingdom' tells the story of an epic adventure.,Kurang Populer
Secret Path,Jordan Brown,1989,Sci-Fi,2.58,1987,The book 'Secret Path' tells the story of an epic adventure.,Kurang Populer
Enchanted Legacy,Alex Miller,2013,Fiction,2.18,24,The book 'Enchanted Legacy' tells the story of an epic adventure.,Kurang Populer
Lost Shadow,Casey Brown,2021,Biography,4.03,3989,The book 'Lost Shadow' tells the story of an epic adventure.,Kurang Populer
Ancient Journey,Taylor Johnson,2014,Historical,2.97,2171,The book 'Ancient Journey' tells the story of an epic adventure.,Kurang Populer
Hidden Journey,Sam Brown,1981,Biography,3.25,954,The book 'Hidden Journey' tells the story of an epic adventure.,Kurang Populer
Ancient Shadow,Taylor Brown,2023,Thriller,3.82,1453,The book 'Ancient Shadow' tells the story of an epic adventure.,Kurang Populer
Mysterious Path,Casey Wilson,1980,Sci-Fi,2.74,2193,The book 'Mysterious Path' tells the story of an epic adventure.,Kurang Populer
Mysterious Journey,Taylor Brown,2004,Thriller,2.11,1377,The book 'Mysterious Journey' tells the story of an epic adventure.,Kurang Populer
Enchanted Shadow,Alex Miller,2010,Historical,4.06,4482,The book 'Enchanted Shadow' tells the story of an epic adventure.,Kurang Populer
Enchanted Path,Morgan Johnson,2024,Historical,2.98,1947,The book 'Enchanted Path' tells the story of an epic adventure.,Kurang Populer
Lost Path,Jordan Johnson,2018,Biography,2.13,3568,The book 'Lost Path' tells the story of an epic adventure.,Kurang Populer
Mysterious Shadow,Sam Miller,2019,Mystery,3.18,3451,The book 'Mysterious Shadow' tells the story of an epic adventure.,Kurang Populer
Mysterious Path,Alex Wilson,1988,Drama,3.13,2014,The book 'Mysterious Path' tells the story of an epic adventure.,Kurang Populer
